project name,pattern,spotbugs path,spotbugs lineno,rbugs path,rbugs lineno
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/util/CliTools.java,156,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/util/CliTools.java,156
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,228,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,228
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,244,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,244
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,205,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,205
biojava,DM_NUMBER_CTOR,org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,267,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/align/xml/MultipleAlignmentXMLParser.java,267
biojava,IIO_INEFFICIENT_INDEX_OF,org/biojava/nbio/structure/cath/CathCategory.java,100,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/cath/CathCategory.java,100
biojava,IIO_INEFFICIENT_INDEX_OF,org/biojava/nbio/structure/cath/CathInstallation.java,454,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/cath/CathInstallation.java,456
biojava,IIO_INEFFICIENT_INDEX_OF,org/biojava/nbio/structure/cath/CathInstallation.java,455,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/cath/CathInstallation.java,455
biojava,IIO_INEFFICIENT_INDEX_OF,org/biojava/nbio/structure/cath/CathInstallation.java,456,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/cath/CathInstallation.java,454
biojava,IIO_INEFFICIENT_LAST_INDEX_OF,org/biojava/nbio/structure/cath/CathInstallation.java,528,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/cath/CathInstallation.java,528
biojava,BX_BOXING_IMMEDIATELY_UNBOXED_TO_PERFORM_COERCION,org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,80,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,80
biojava,DM_FP_NUMBER_CTOR,org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,80,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,80
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,104,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/ClusterDomains.java,104
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/domain/pdp/Cut.java,170,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/Cut.java,170
biojava,VA_FORMAT_STRING_USES_NEWLINE,org/biojava/nbio/structure/domain/pdp/CutDomain.java,88,/home/codegex/Documents/workspace/codegex/rbugs_experiments/top100repos/biojava/biojava-structure/src/main/java/org/biojava/nbio/structure/domain/pdp/CutDomain.java,88
